id,created_date,updated_date,name,industry,size,location,description,website,slogan,company_type,country,addresses,working_days,overtime_policy,vector_context,benefits
159,2026-08-05 08:46:54.548652,2026-08-05 08:49:14.394558,Opes Insurance,Financial Services,51-150 employees,"6th Floor, No 5 Dien Bien Phu Str., Ba Dinh, Ha Noi","Thành lập vào năm 2018, Công ty Cổ phần bảo hiểm OPES (OPES – The Digital Insurer) mang theo mình sứ mệnh trở thành Doanh nghiệp tiên phong trong lĩnh vực bảo hiểm số, cung cấp các sản phẩm bảo hiểm đơn giản, tiện lợi cùng chất lượng dịch vụ xuất sắc. Tâm huyết với tầm nhìn, định hướng của Ban lãnh đạo, đội ngũ nhân sự tại OPES nhanh chóng nắm bắt xu thế ứng dụng công nghệ, số hóa và bước đầu hiện thực sứ mệnh, khẳng định thương hiệu bảo hiểm số - OPES trên thị trường bảo hiểm Việt Nam. Tốc độ tăng trưởng 2 đến 3 con số của OPES trong giai đoạn đầu gia nhập thị trường bảo hiểm Việt Nam khá ấn tượng. Sau 08 năm thành lập, OPES đã vươn lên vị trí 06/32 doanh nghiệp Bảo hiểm tại Việt Nam. Năm 2022, đánh dấu sự kiện OPES trở thành công ty con của Ngân hàng TMCP Việt Nam Thịnh Vượng (VP Bank) Năm 2025, OPES đạt danh hiệu Top 50 khối Doanh nghiệp vừa và Top 5 nhóm ngành Bảo hiểm trong Bảng xếp hạng 100 Nơi làm việc tốt nhất Việt Nam 2025. Cũng trong năm này, OPES đã liên tục gặt hái các thành tựu nổi bật như: ""Nhà bảo hiểm số của năm"" và ""Sáng kiến ứng dụng AI của năm"" tại Insurance Asia Awards 2025, Top 10 Công ty Bảo hiểm Phi nhân thọ uy tín, Top 500 Doanh nghiệp lợi nhuận tốt nhất Việt Nam (PROFIT500) & Top 500 Doanh nghiệp tăng trưởng tốt nhất Việt Nam (FAST500), thể hiện sự lớn mạnh cả về quy mô và uy tín trên thị trường bảo hiểm tại Việt Nam. Hãy cùng OPES tỏa sáng tài năng của bạn. Tìm hiểu thêm về OPES tại đây: https://www.youtube.com/watch?v=jZjtvFP44Jw Website: www.opes.com.vn",https://opes.com.vn/,OPES The Digital Insurer,PRODUCT,VIETNAM,"['6th Floor, No 5 Dien Bien Phu Str., Quận Ba Đình, Hà Nội']",Monday - Friday,No OT,"Company Name: Opes Insurance. Slogan: OPES The Digital Insurer. Type: Product. Industry: Financial Services. Size: 51-150 employees. Country: Vietnam. Location: 6th Floor, No 5 Dien Bien Phu Str., Ba Dinh, Ha Noi. Working Days: Monday - Friday. Overtime Policy: No OT. Description: Thành lập vào năm 2018, Công ty Cổ phần bảo hiểm OPES (OPES – The Digital Insurer) mang theo mình sứ mệnh trở thành Doanh nghiệp tiên phong trong lĩnh vực bảo hiểm số, cung cấp các sản phẩm bảo hiểm đơn giản, tiện lợi cùng chất lượng dịch vụ xuất sắc. Tâm huyết với tầm nhìn, định hướng của Ban lãnh đạo, đội ngũ nhân sự tại OPES nhanh chóng nắm bắt xu thế ứng dụng công nghệ, số hóa và bước đầu hiện thực sứ mệnh, khẳng định thương hiệu bảo hiểm số - OPES trên thị trường bảo hiểm Việt Nam. Tốc độ tăng trưởng 2 đến 3 con số của OPES trong giai đoạn đầu gia nhập thị trường bảo hiểm Việt Nam khá ấn tượng. Sau 08 năm thành lập, OPES đã vươn lên vị trí 06/32 doanh nghiệp Bảo hiểm tại Việt Nam. Năm 2022, đánh dấu sự kiện OPES trở thành công ty con của Ngân hàng TMCP Việt Nam Thịnh Vượng (VP Bank) Năm 2025, OPES đạt danh hiệu Top 50 khối Doanh nghiệp vừa và Top 5 nhóm ngành Bảo hiểm trong Bảng xếp hạng 100 Nơi làm việc tốt nhất Việt Nam 2025. Cũng trong năm này, OPES đã liên tục gặt hái các thành tựu nổi bật như: ""Nhà bảo hiểm số của năm"" và ""Sáng kiến ứng dụng AI của năm"" tại Insurance Asia Awards 2025, Top 10 Công ty Bảo hiểm Phi nhân thọ uy tín, Top 500 Doanh nghiệp lợi nhuận tốt nhất Việt Nam (PROFIT500) & Top 500 Doanh nghiệp tăng trưởng tốt nhất Việt Nam (FAST500), thể hiện sự lớn mạnh cả về quy mô và uy tín trên thị trường bảo hiểm tại Việt Nam. Hãy cùng OPES tỏa sáng tài năng của bạn. Tìm hiểu thêm về OPES tại đây: https://www.youtube.com/watch?v=jZjtvFP44Jw Website: www.opes.com.vn.","['Thử việc Full Lương', 'Chế độ Bảo Hiểm hấp dẫn (Family Package)', 'Chế độ hỗ trợ vay mua nhà & tiêu dùng ưu đãi nhất', 'Thử việc Full lương- Thưởng lương tháng 13 + thưởng hiệu quả làm việc + thưởng Lễ tết-Chế độ phúc lơi toàn diện: BHXH, BH OPES care dành riêng cho OPESers và người thân, trợ cấp ăn trưa, đi lại, điện thoại…', 'Chế độ hỗ trợ vay ưu đãi dành riêng cho OPESers từ VPBank (vay mua nhà/tiêu dùng...)', 'Tư vấn, đồng hành trong quá trình phát triển cá nhân qua các chương trình IDP hàng năm.', 'Thời gian làm việc cân bằng hướng tới hiệu quả: 5 ngày/tuần (nghỉ thứ 7, CN)/ Nghỉ phép năm từ 14 đến 21 ngày (theo cấp bậc).', 'Môi trường làm việc trẻ trung, năng động với các hoạt động văn hóa, teambuilding du lịch…']"
532,2026-08-05 12:37:18.202270,2026-08-05 12:37:18.202329,Công ty Cổ phần Chứng khoán Ngân hàng đầu tư và Phát triển Việt Nam (BSC),IT Services,50-150 employees,Vietnam,,,,PRODUCT,VIETNAM,['Vietnam'],,,Company Name: Công ty Cổ phần Chứng khoán Ngân hàng đầu tư và Phát triển Việt Nam (BSC). Type: Product. Industry: IT Services. Size: 50-150 employees. Country: Vietnam. Location: Vietnam.,[]
716,2026-08-05 14:57:57.314494,2026-08-05 14:57:57.314579,CÔNG TY TNHH ĐIỀU INTERSNACK VIỆT NAM,IT Services,50-150 employees,Vietnam,,,,PRODUCT,VIETNAM,['Vietnam'],,,Company Name: CÔNG TY TNHH ĐIỀU INTERSNACK VIỆT NAM. Type: Product. Industry: IT Services. Size: 50-150 employees. Country: Vietnam. Location: Vietnam.,[]
509,2026-08-05 12:27:34.499206,2026-08-05 12:38:01.383163,CÔNG TY TNHH SOONEST EXPRESS (VIETNAM),Vận tải,50-150 employees,"201 Trường Chinh, Hà Nội","Soonest Express Co. was founded in 1984 provided customs brokerage and limited airfreight services in Taiwan. As the business grew and the demand increased, the company started the international airfreight service in 1989 and partnered with overseas agents to extend the operations coverage. With the success of the early operation, the company expanded the Asian market and established the first subsidiary in Hong Kong in 1991 to compete in the worldwide logistics industry. As the company has been growing rapidly since the international expansion, the management decided to scale up and to bring the professional team to the United States. In 1997, Soonest Express Inc. stretched out to the North American market and settled the headquarters in San Francisco. Conducted and operated by an ambitious leadership and passionate staff, the company continued to grow and opened Los Angeles, Chicago, Dallas, New York office five years after the expansion. Now, Soonest Express stands on a solid reputation and strong international network building on the innovative and excellent logistics solutions. In the future, Soonest Express will continue to improve and deliver services to all corners of the world.",,,PRODUCT,VIETNAM,"['201 Trường Chinh, Hà Nội']",,,"Company Name: CÔNG TY TNHH SOONEST EXPRESS (VIETNAM). Type: Product. Industry: Vận tải. Size: 50-150 employees. Country: Vietnam. Location: 201 Trường Chinh, Hà Nội. Description: Soonest Express Co. was founded in 1984 provided customs brokerage and limited airfreight services in Taiwan. As the business grew and the demand increased, the company started the international airfreight service in 1989 and partnered with overseas agents to extend the operations coverage. With the success of the early operation, the company expanded the Asian market and established the first subsidiary in Hong Kong in 1991 to compete in the worldwide logistics industry. As the company has been growing rapidly since the international expansion, the management decided to scale up and to bring the professional team to the United States. In 1997, Soonest Express Inc. stretched out to the North American market and settled the headquarters in San Francisco. Conducted and operated by an ambitious leadership and passionate staff, the company continued to grow and opened Los Angeles, Chicago, Dallas, New York office five years after the expansion. Now, Soonest Express stands on a solid reputation and strong international network building on the innovative and excellent logistics solutions. In the future, Soonest Express will continue to improve and deliver services to all corners of the world..","['Thưởng: Lương tháng 13, Ngày lễ, Bonus', 'Nghỉ phép: 12 ngày nghỉ phép hàng năm']"
12,2026-08-05 07:44:40.400366,2026-08-05 09:34:37.881019,SSI Securities Corporation,Financial Services,1000+ employees,"72 Nguyễn Huệ, Ho Chi Minh","In December 2021, by the 21st anniversary, SSI Securities was honored in the list of ""Top 100 best places to work in Vietnam"", standing in the ""Top 50 attractive employer brands"" – Vietnamese business sector” and ranked second in the list of “Best Places to Work in Finance” announced by the Employer Branding solution Anphabe. SSI - A leading and reputable financial institution which has the fastest growth rate in term of charter capital in Vietnam. SSI has always been a gateway for foreign investors and owns its extensive branch network. We also were one of the first in industry applying technology in investment and trading services. Our strategy is to become a Sustainable - Developed Financial Corporation based on the advanced technological foundation. With big investment on technology and long – term IT project, we believe to offer you a very challenging opportunity. WE – A team of talented and passionate professionals, with us you will be experienced a strong team spirit, high degrees of openness and innovation, and strong collaboration across fields. If you’re looking for a creative environment where you have a chance to approach very trendy technologies in Fintech, Join us!",https://www.ssi.com.vn/,SSI – A leading Financial Corporation,PRODUCT,VIETNAM,"['My Dinh Pearl, Me Tri, Hà Nội']",Monday - Friday,Extra salary for OT,Company Name: SSI Securities Corporation. Type: Product. Industry: Financial Services. Size: 1000+ employees. Country: Vietnam. Location: Vietnam. Working Days: Monday - Friday. Overtime Policy: Extra salary for OT. Description: SSI Securities Corporation is an active technology employer..,"['Attractive salary and bonus package', 'Premium AON healthcare insurance', 'Fully sponsored training to build your career', 'Highly competitive remuneration package: Attractive monthly salary, 13th month salary, KPIs cash bonus, Public holiday cash bonus, Birthday gift, Lunar new year gift,...', 'Premium AON healthcare insurane and full labor insurance', '12 days Annual leave + 2 days sick leave with full paid', 'Luxury team-building trip and varied engagement activities', 'Joining the leisure clubs: Football, E-Sport, Running, Gym, Yoga....', 'Professional, open minded and supportive working enviroment']"
533,2026-08-05 12:38:22.340658,2026-08-05 12:38:22.340698,Ngân hàng TMCP Tiên Phong,IT Services,50-150 employees,Vietnam,,,,PRODUCT,VIETNAM,['Vietnam'],,,Company Name: Ngân hàng TMCP Tiên Phong. Type: Product. Industry: IT Services. Size: 50-150 employees. Country: Vietnam. Location: Vietnam.,[]
6,2026-08-05 07:43:46.495043,2026-08-05 07:46:35.573664,Koh Young Technology Inc,Software Development Outsourcing,501-1000 employees,"Trang An Complex bldg, CT1, 1 Phùng Chí Kiên (TS & TQA team), Ha Noi","Koh Young provides a total solution including 3D Image Construction, Interactive Interface Software, Review Station, SPC for users to evaluate their manufacturing quality, automatically. As a product company with over 20 consecutive years of maintaining its leading position in the market share of its products. Joining us, you will understand how we can meet global companies' demands. We're looking for engineers who bring fresh ideas from multiple areas, including UI & UX design Image processing & computer vision, computer graphics Desktop applications, friendly and large-scale system design, data storage, Artificial Intelligence Software Quality Assurance Technical Support (FSE) who bring great service to customer Software Engineers are backbone of Koh Young. We made products for 3000+ customers and have fun while doing so. If you share our passion for software development – Koh Young Vietnam (KYV) is just right for you. In Vietnam, the Representative Office was established at the end of 2014 with 14 FSEs engineers. From 2019, KYV was established with nearly 100 employees includes Software, UI/UX, SQA, Machine Vision, TS and Administrative.",https://www.kohyoung.com/en,Delivery authentic values with true dedication and Professionalism,PRODUCT,SOUTH_KOREA,"['Trang An Complex bldg, CT1, 1 Phùng Chí Kiên (TS & TQA team), Quận Cầu Giấy, Hà Nội']",Monday - Friday,Extra salary for OT,"Company Name: Koh Young Technology Inc. Slogan: Delivery authentic values with true dedication and Professionalism. Type: Product. Industry: Software Development Outsourcing. Size: 501-1000 employees. Country: South Korea. Location: Trang An Complex bldg, CT1, 1 Phùng Chí Kiên (TS & TQA team), Ha Noi. Working Days: Monday - Friday. Overtime Policy: Extra salary for OT. Description: Koh Young provides a total solution including 3D Image Construction, Interactive Interface Software, Review Station, SPC for users to evaluate their manufacturing quality, automatically. As a product company with over 20 consecutive years of maintaining its leading position in the market share of its products. Joining us, you will understand how we can meet global companies' demands. We're looking for engineers who bring fresh ideas from multiple areas, including UI & UX design Image processing & computer vision, computer graphics Desktop applications, friendly and large-scale system design, data storage, Artificial Intelligence Software Quality Assurance Technical Support (FSE) who bring great service to customer Software Engineers are backbone of Koh Young. We made products for 3000+ customers and have fun while doing so. If you share our passion for software development – Koh Young Vietnam (KYV) is just right for you. In Vietnam, the Representative Office was established at the end of 2014 with 14 FSEs engineers. From 2019, KYV was established with nearly 100 employees includes Software, UI/UX, SQA, Machine Vision, TS and Administrative..","['100% full salary-based insurance', 'Premium personal medical care: PVI care insurance', 'Work-Life Balance with family package', 'Bothshortandlong term stay in Koreaare always welcome to capture domain knowledge.', 'Frequent opportunities to gobusiness trip to foreign countries, Korea, India, Mexico, SEA,…', '15 paid leavesper year not including public holidays', 'Attractive remunerationpackagefor you andyour family(Special gift for you, for your spouse, and for your children, parents…)', 'And Full Social, Medical & Unemployment InsurancePremium insurancepackage.', 'Free Korean languageclass learning.', 'Full paid for Motorbike + car parking.', 'Loyalty programafter five years and ten years.', 'Flexibleworking hours.', 'Monthly with the whole team-buildingcovered by company-funded.', 'Free in-housedrinks (coffee, soft drinks,…) and food (cookies, fruit,…).', 'Out-house company-fundedsport clubs every Wedneday night (football...)', 'Desktop: CPU Intel Core i7-9700K, 3.6 GHz, 8 core 8 thread, Gigabyte Z390,RAM 64GB, SSD 1TB,GIGABYTERTX super, two 24 inch monitors).', 'Laptop:Dell Precision5570 Workstation (CPU Intel Core i7, NVIDIA RTX, Display: 15.6-inch Infinity Edge, RAM 32 GB).']"
8,2026-08-05 07:43:59.321644,2026-08-05 07:47:04.936915,NEXLAB TECHNOLOGY,Software Products and Web Services,1-50 employees,"210 Hoang Hoa Tham, Bay Hien, Ho Chi Minh","The centerpiece of a successful business is provided by its leadership’s direction and vision. Nexlab’s team consists of ingenious, sophisticated, and seasoned management and technical professionals. Our passion has turned ideas into impactful products. Nexlab is capable of delivering leading-edge technologies in less time and can suggest cost-effectively viable solutions. We are obsessed with increasing business efficiency for our clients. Our consultants have paid visits to lots of foreign countries to implement various off-shore projects whenever needed. Our developers are all abreast of the times, we use various technologies, open-source frameworks, libraries, and tools to deliver stacks that are scalable, secure, and provides unbeatable user-oriented features. We use modern, proven technologies, and do not depend on any specific one. We have diverse and flexible engagement models, strong expertise in sectors such as Finance, E-Commerce, HRM, Government, Healthcare, Education. It's our pleasure to be trusted by big clients from all over the world like Daikin, Raffles Medical Group, Yeah1!, FE Credit, Indigo, Web Money, Vetera.",https://nexlab.tech/,"Nexlab has strong expertise in Finance, E-Commerce, HRM, Government, Healthcare, Education",PRODUCT,VIETNAM,"['01 Street No. 10, Van Phuc 1 City, Hồ Chí Minh', '210 Hoang Hoa Tham, Quận Tân Bình, Hồ Chí Minh']",Monday - Friday,No OT,"Company Name: NEXLAB TECHNOLOGY. Slogan: Nexlab has strong expertise in Finance, E-Commerce, HRM, Government, Healthcare, Education. Type: Product. Industry: Software Products and Web Services. Size: 1-50 employees. Country: Vietnam. Location: 210 Hoang Hoa Tham, Bay Hien, Ho Chi Minh. Working Days: Monday - Friday. Overtime Policy: No OT. Description: The centerpiece of a successful business is provided by its leadership’s direction and vision. Nexlab’s team consists of ingenious, sophisticated, and seasoned management and technical professionals. Our passion has turned ideas into impactful products. Nexlab is capable of delivering leading-edge technologies in less time and can suggest cost-effectively viable solutions. We are obsessed with increasing business efficiency for our clients. Our consultants have paid visits to lots of foreign countries to implement various off-shore projects whenever needed. Our developers are all abreast of the times, we use various technologies, open-source frameworks, libraries, and tools to deliver stacks that are scalable, secure, and provides unbeatable user-oriented features. We use modern, proven technologies, and do not depend on any specific one. We have diverse and flexible engagement models, strong expertise in sectors such as Finance, E-Commerce, HRM, Government, Healthcare, Education. It's our pleasure to be trusted by big clients from all over the world like Daikin, Raffles Medical Group, Yeah1!, FE Credit, Indigo, Web Money, Vetera..","['Unlimited potential for the career path', 'Excellent salary with good benefit', 'Fantastic yet professional working environment', 'Excellent salary with good benefit.', 'Allocate modern working devices:Laptop, Macbook, Second Monitor, Test Phone, etc...', 'Bao Viet Health Insurance.', 'Compulsory insurance according to Vietnam Labor Law.', 'Salary review based on performance yearly.', 'Unlimited potential for the career path.', 'Technical activities, presentation, sharing.', 'Sport/Game activities.', 'Fantastic yet professional working environment.', 'Lovely, friendly, and talented colleagues.', 'Weekly Happy Hour.', 'Free and unlimited coffee, tea, snack, fruit... in office.', 'Monthly team-building.', 'Yearly company trip - Year End Party.']"
534,2026-08-05 12:38:54.790111,2026-08-05 12:38:54.790178,LG Electronics Development Vietnam Company Limited,IT Services,50-150 employees,Vietnam,,,,PRODUCT,VIETNAM,['Vietnam'],,,Company Name: LG Electronics Development Vietnam Company Limited. Type: Product. Industry: IT Services. Size: 50-150 employees. Country: Vietnam. Location: Vietnam.,[]
1,2026-08-05 07:42:48.685117,2026-08-05 09:54:46.013378,IVC (ISB Vietnam),Software Development Outsourcing,151-300 employees,Quận Tân Bình,"As an esteemed offshore software development outsourcing company in Vietnam, ISB Vietnam provides the outsourcing services with Passions, Teamwork and Innovations. With quality engineers and expert consultants who are committed to deliver the excellent results, we help enterprises achieve their goals. Keeping our mission to contribute to society in our mind, we serve every and each customer with the great interest in their business and utmost care. Our Business Model: - Outsourcing/Offshoring: + Business Application Development: Finance/Banking/Securities, Business Application/System, Medical System, Web System/Application. + Mobile Development: Mobile/Smartphone App, Middleware/Embedded Software, Protocol Stack/ Communication control, Cloud/Server Application. - Our solutions create sustainable and tangible value to our clients and our success is driven by our people and their strong focus on excellence-by delivering quality solutions through innovative technologies such as CRM, Supply chain, manufacturing, accounting, HRM, core banking, etc. - Standard Certification: ISO/IEC 27001:2013",http://www.isb-vietnam.com.vn/,ISB Vietnam Company Limited was established in 2003 with 100% investment of ISB Corporation,OUTSOURCING,JAPAN,"['Etown 2, 364 Cong Hoa, Quận Tân Bình, Hồ Chí Minh']",Monday - Friday,No OT,Company Name: IVC (ISB Vietnam). Type: Outsourcing. Industry: Software Development Outsourcing. Size: 151-300 employees. Country: Japan. Location: Quận Tân Bình. Working Days: Monday - Friday. Overtime Policy: No OT. Description: IVC (ISB Vietnam) is an active technology employer..,"['Premium Healthcare package insurance', '13th month salary, Performance bonus', '16 days annual leave']"
